"Address","Type","Neighborhood","Year Built"
"320 STERLING STREET","Income-restricted, HDFC",NA,NA
"320 WEST 53 STREET","Income-restricted, HDFC",NA,NA
"321 PLEASANT AVENUE","Income-restricted, HDFC",NA,NA
"3215 OLINVILLE AVENUE","Income-restricted, HDFC","BRONXDALE",NA
"322 WEST 17 STREET","Income-restricted, HDFC","CHELSEA",NA
"322 WEST 47 STREET","Income-restricted, HDFC",NA,NA
"323 EDGECOMBE AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"323 PLEASANT AVENUE","Income-restricted, HDFC",NA,NA
"323 WEST 43 STREET","Income-restricted, HDFC","MIDTOWN WEST",NA
"324 WEST 17 STREET","Income-restricted, HDFC","CHELSEA",NA
"325 BEDFORD AVENUE","Income-restricted, HDFC","WILLIAMSBURG-SOUTH",1920
"325 PLEASANT AVENUE","Income-restricted, HDFC",NA,NA
"325 WEST 43 STREET","Income-restricted, HDFC","MIDTOWN WEST",NA
"326 WEST 17 STREET","Income-restricted, HDFC",NA,NA
"326 WEST 43 STREET","Income-restricted, HDFC","MIDTOWN WEST",NA
"326 WEST 45 STREET","Income-restricted, HDFC",NA,NA
"3260 CRUGER AVENUE","Limited-equity, Mitchell Lama","BRONXDALE",NA
"327 EDGECOMBE AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"327 KEAP STREET","Income-restricted, HDFC",NA,NA
"327 LENOX AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"327 PLEASANT AVENUE","Income-restricted, HDFC",NA,NA
"327 PUTNAM AVENUE","Income-restricted, HDFC",NA,NA
"3279 HULL AVENUE","Income-restricted, HDFC","BEDFORD PARK/NORWOOD",NA
"328E EAST 106 STREET","Income-restricted, HDFC",NA,NA
"33 CONVENT AVENUE","Income-restricted, HDFC","HARLEM-WEST",NA
"330 SOUTH 3 STREET","Income-restricted, HDFC",NA,NA
"333 EAST 209 STREET","Income-restricted, HDFC","BEDFORD PARK/NORWOOD",NA
"333 LAFAYETTE AVENUE","Limited-equity, Mitchell Lama","CLINTON HILL",1963
"336 EAST 4 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"340 MANHATTAN AVENUE","Income-restricted, HDFC",NA,NA
"340 SOUTH REGENT ST PORT CHESTER","Limited-equity",NA,NA
"340 ST MARKS AVENUE","Income-restricted, HDFC",NA,NA
"3400 FT INDEPENDENCE STREET","Limited-equity, Mitchell Lama","KINGSBRIDGE/JEROME PARK",NA
"3400 PAUL AVENUE","Limited-equity, Mitchell Lama","KINGSBRIDGE/JEROME PARK",NA
"3401 BROADWAY","Income-restricted, HDFC",NA,NA
"3405 BROADWAY","Income-restricted, HDFC","HARLEM-UPPER",NA
"341 BEDFORD AVENUE","Income-restricted, HDFC",NA,NA
"342 EAST 139 STREET","Income-restricted, HDFC",NA,NA
"342 WEST 48 STREET","Income-restricted, HDFC","MIDTOWN WEST",NA
"343 BEDFORD AVENUE","Income-restricted, HDFC","WILLIAMSBURG-SOUTH",1907
"344 SOUTH 3 STREET","Income-restricted, HDFC",NA,NA
"344 WEST 48 STREET","Income-restricted, HDFC","MIDTOWN WEST",NA
"345 3 STREET","Income-restricted, HDFC",NA,NA
"346 BEDFORD AVENUE","Income-restricted, HDFC",NA,NA
"346 WEST 48 STREET","Income-restricted, HDFC",NA,NA
"348 EAST 10 STREET","Income-restricted, HDFC",NA,NA
"348 WEST 48 STREET","Income-restricted, HDFC",NA,NA
"3485 BROADWAY","Income-restricted, HDFC","HARLEM-UPPER",NA
"349 SOUTH 1 STREET","Income-restricted, HDFC",NA,NA
"35 KINGSLAND AVENUE","Income-restricted, HDFC",NA,NA
"35 MT MORRIS PARK WEST","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"35 WEST 105 STREET","Income-restricted, HDFC",NA,NA
"350 SOUTH 4 STREET","Income-restricted, HDFC",NA,NA
"350 WEST 48 STREET","Income-restricted, HDFC",NA,NA
"3501 BARNES AVENUE","Limited-equity, Mitchell Lama",NA,NA
"352 WEST 11 STREET","Income-restricted, HDFC",NA,NA
"353 BEACH 57 STREET","Limited-equity, Mitchell Lama",NA,NA
"353 WEST 117 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"353 WEST 47 STREET","Income-restricted, HDFC","MIDTOWN WEST",NA
"3531 3 AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"354 SOUTH 4 STREET","Income-restricted, HDFC",NA,NA
"354 WEST 48 STREET","Income-restricted, HDFC",NA,NA
"3551 OLINVILLE AVENUE","Limited-equity, Mitchell Lama",NA,NA
"357 WEST 11 STREET","Income-restricted, HDFC",NA,NA
"357E EAST 201 STREET","Income-restricted, HDFC",NA,NA
"36 HAWTHORNE STREET","Income-restricted, HDFC",NA,NA
"36 WEST 138 STREET","Income-restricted, HDFC",NA,NA
"364 ST ANNS AVENUE","Income-restricted, HDFC",NA,NA
"364 WEST 121 STREET","Income-restricted, HDFC",NA,NA
"367 EAST 10 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"3679 BROADWAY","Income-restricted, HDFC",NA,NA
"368 EAST 8 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"368 HOOPER STREET","Income-restricted, HDFC",NA,NA
"369 EDGECOMBE AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"3692 BROADWAY","Income-restricted, HDFC","HARLEM-UPPER",NA
"3696 BROADWAY","Income-restricted, HDFC",NA,NA
"37 KINGSLAND AVENUE","Income-restricted, HDFC",NA,NA
"37 MALCOLM X BOULEVARD","Income-restricted, HDFC",NA,NA
"370 HOOPER STREET","Income-restricted, HDFC",NA,NA
"371 EDGECOMBE AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"371 WEST 120 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"37-12 ASTORIA BOULEVARD SOUTH","Income-restricted, HDFC",NA,NA
"373 GRAND AVENUE","Income-restricted, HDFC",NA,NA
"374 SOUTH 2 STREET","Income-restricted, HDFC","WILLIAMSBURG-SOUTH",1924
"374 WEST 127 STREET","Income-restricted, HDFC",NA,NA
"375 MANHATTAN AVENUE","Income-restricted, HDFC","MANHATTAN VALLEY",NA
"379 HANCOCK STREET","Income-restricted, HDFC",NA,NA
"38 DOWNING STREET","Income-restricted, HDFC","GREENWICH VILLAGE-WEST",NA
"38 WEST 130 STREET","Income-restricted, HDFC",NA,NA
"3800 WALDO AVENUE","Limited-equity, Mitchell Lama","KINGSBRIDGE/JEROME PARK",NA
"3810 BROADWAY","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"382 WEST STREET","Income-restricted, HDFC",NA,NA
"3835 SEDGWICK AVENUE","Limited-equity, Mitchell Lama",NA,NA
"384 KEAP STREET","Income-restricted, HDFC",NA,NA
"3848 10 AVENUE","Income-restricted, HDFC",NA,NA
"3850 BRONX BOULEVARD","Limited-equity, Mitchell Lama","WILLIAMSBRIDGE",NA
"386 2 STREET","Income-restricted, HDFC",NA,NA
"388 HALSEY STREET","Income-restricted, HDFC",NA,NA
"389 EAST 194 STREET","Income-restricted, HDFC","BEDFORD PARK/NORWOOD",NA
"39 SOUTH 9 STREET","Income-restricted, HDFC",NA,NA
"3900 BAILEY AVENUE","Limited-equity, Mitchell Lama","KINGSBRIDGE/JEROME PARK",NA
"392 MARCY AVENUE","Income-restricted, HDFC",NA,NA
"392 SOUTH 5 STREET","Income-restricted, HDFC","WILLIAMSBURG-SOUTH",1920
"394 JEFFERSON AVENUE","Income-restricted, HDFC",NA,NA
"4 WEST 105 STREET","Income-restricted, HDFC","MANHATTAN VALLEY",NA
"40 DOWNING STREET","Income-restricted, HDFC","GREENWICH VILLAGE-WEST",NA
"40 WEST 128 STREET","Income-restricted, HDFC",NA,NA
"400 CONVENT AVENUE","Income-restricted, HDFC","HARLEM-UPPER",NA
"400 EAST 161 STREET","Income-restricted, HDFC",NA,NA
"402 WEST 48 STREET","Income-restricted, HDFC",NA,NA
"404 WEST 48 STREET","Income-restricted, HDFC","CLINTON",NA
"405 WEST 48 STREET","Income-restricted, HDFC","CLINTON",NA
"405 WILLIAMS AVE","Limited-equity",NA,NA
"405 WILLIAMS AVENUE","Income-restricted, HDFC",NA,NA
"406 WEST 47 STREET","Income-restricted, HDFC","CLINTON",NA
"408 WEST 25 STREET","Income-restricted, HDFC","CHELSEA",NA
"409 EDGECOMBE AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"41 CONVENT AVENUE","Income-restricted, HDFC","HARLEM-WEST",NA
"41 NORTH ELLIOTT PLACE","Income-restricted, HDFC","NAVY YARD",1942
"411 CHAUNCEY STREET","Income-restricted, HDFC",NA,NA
"412 EAST 10 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"413 WEST 48 STREET","Income-restricted, HDFC","CLINTON",NA
"414 61 STREET","Income-restricted, HDFC","SUNSET PARK",1912
"414 BRIGHTWATER COURT","Limited-equity, Mitchell Lama",NA,NA
"414 EAST 134 STREET","Income-restricted, HDFC",NA,NA
"414 WEST 146 STREET","Income-restricted, HDFC",NA,NA
"415 BEDFORD AVENUE","Income-restricted, HDFC",NA,NA
"415 EAST 12 STREET","Income-restricted, HDFC","EAST VILLAGE",NA
"416 EAST 10 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"416 WEST 129 STREET","Income-restricted, HDFC",NA,NA
"418 WEST 129 STREET","Income-restricted, HDFC",NA,NA
"418 WEST 46 STREET","Income-restricted, HDFC","CLINTON",NA
"419 WEST 147 STREET","Income-restricted, HDFC",NA,NA
"42 PATCHEN AVENUE","Income-restricted, HDFC",NA,NA
"42 WEST 138 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"420 EAST 119 STREET","Income-restricted, HDFC","HARLEM-EAST",NA
"420 WEST 146 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"421 CROWN STREET","Income-restricted, HDFC","CROWN HEIGHTS",1923
"421 EAST 157 STREET","Income-restricted, HDFC",NA,NA
"421 WEST 148 STREET","Income-restricted, HDFC",NA,NA
"4214 5 AVENUE","Income-restricted, HDFC",NA,NA
"4218 5 AVENUE","Income-restricted, HDFC",NA,NA
"4220 5 AVENUE","Income-restricted, HDFC",NA,NA
"4226 5 AVENUE","Income-restricted, HDFC",NA,NA
"424 EAST 115 STREET","Income-restricted, HDFC","HARLEM-EAST",NA
"424 WEST 146 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"425 EAST 153 STREET","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"4250 KATONAH AVENUE","Limited-equity, Mitchell Lama",NA,NA
"426 EAST 149 STREET","Income-restricted, HDFC","MOTT HAVEN/PORT MORRIS",NA
"427 EAST 6 STREET","Income-restricted, HDFC","EAST VILLAGE",NA
"428 EAST 157 STREET","Income-restricted, HDFC",NA,NA
"429 EAST 157 STREET","Income-restricted, HDFC",NA,NA
"43 5 AVENUE","Income-restricted, HDFC","GREENWICH VILLAGE-CENTRAL",NA
"43 ST JOHNS PLACE","Income-restricted, HDFC",NA,NA
"430 EAST 149 STREET","Income-restricted, HDFC",NA,NA
"430 LENOX AVENUE","Income-restricted, HDFC",NA,NA
"430 ROGERS AVENUE","Income-restricted, HDFC","FLATBUSH-LEFFERTS GARDEN",1907
"430 WEST 46 STREET","Income-restricted, HDFC",NA,NA
"4302 3 AVENUE","Income-restricted, HDFC",NA,NA
"431 STERLING PLACE","Income-restricted, HDFC",NA,NA
"433 WEST 46 STREET","Income-restricted, HDFC","CLINTON",NA
"433 WEST 48 STREET","Income-restricted, HDFC",NA,NA
"434 WEST 49 STREET","Income-restricted, HDFC",NA,NA
"44 DOWNING STREET","Income-restricted, HDFC","GREENWICH VILLAGE-WEST",NA
"440 WESTMINSTER ROAD","Income-restricted, HDFC",NA,NA
"442 BEDFORD AVENUE","Income-restricted, HDFC",NA,NA
"442 WILLIS AVENUE","Income-restricted, HDFC",NA,NA
"443 WEST 37 STREET","Income-restricted, HDFC",NA,NA
"444 WEST 167 STREET","Income-restricted, HDFC",NA,NA
"444 WEST 54 STREET","Income-restricted, HDFC","CLINTON",NA
"445 16 STREET","Income-restricted, HDFC",NA,NA
"445 WEST 37 STREET","Income-restricted, HDFC","JAVITS CENTER",NA
"446 BEDFORD AVENUE","Income-restricted, HDFC",NA,NA
"446 EAST 13 STREET","Income-restricted, HDFC",NA,NA
"448 ST NICHOLAS AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"45 5 AVENUE","Income-restricted, HDFC","GREENWICH VILLAGE-CENTRAL",NA
"45 FAIRVIEW AVENUE","Limited-equity, Mitchell Lama","WASHINGTON HEIGHTS UPPER",NA
"450 EAST 165 STREET","Income-restricted, HDFC",NA,NA
"450 WEST 152 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"450 WEST 55 STREET","Income-restricted, HDFC","CLINTON",NA
"451 WEST 166 STREET","Income-restricted, HDFC",NA,NA
"451 WEST 48 STREET","Income-restricted, HDFC",NA,NA
"452 BEDFORD AVENUE","Income-restricted, HDFC",NA,NA
"452 WEST 50 STREET","Income-restricted, HDFC",NA,NA
"454 WEST 152 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"455 CARLTON AVENUE","Limited-equity, Mitchell Lama",NA,NA
"4554 PARK AVENUE","Income-restricted, HDFC","BATHGATE",NA
"456 WEST 129 STREET","Income-restricted, HDFC",NA,NA
"456 WEST 50 STREET","Income-restricted, HDFC",NA,NA
"457 WEST 35 STREET","Income-restricted, HDFC",NA,NA
"458 WEST 57 STREET","Income-restricted, HDFC","CLINTON",NA
"46 RIVINGTON STREET","Income-restricted, HDFC","LOWER EAST SIDE",NA
"46-10 61 STREET","Limited-equity, Mitchell Lama",NA,NA
"463 CLASSON AVENUE","Income-restricted, HDFC",NA,NA
"463 WILSON AVENUE","Income-restricted, HDFC","BUSHWICK",1928
"464 WEST 152 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"464 WEST 51 STREET","Income-restricted, HDFC",NA,NA
"465 17 STREET","Income-restricted, HDFC",NA,NA
"465 EASTERN PARKWAY","Income-restricted, HDFC","CROWN HEIGHTS",1915
"465 WEST 166 STREET","Income-restricted, HDFC",NA,NA
"465 WEST 46 STREET","Income-restricted, HDFC",NA,NA
"468 CONVENT AVENUE","Income-restricted, HDFC",NA,NA
"468 HANCOCK STREET","Income-restricted, HDFC",NA,NA
"47 FT WASHINGTON AVENUE","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"470 WEST 146 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"471 17 STREET","Income-restricted, HDFC",NA,NA
"472 41 STREET","Income-restricted, HDFC",NA,NA
"473 17 STREET","Income-restricted, HDFC",NA,NA
"475 17 STREET","Income-restricted, HDFC",NA,NA
"475 PROSPECT PLACE","Income-restricted, HDFC",NA,NA
"476 WEST WEST 141 STREET","Income-restricted, HDFC",NA,NA
"477 17 STREET","Income-restricted, HDFC",NA,NA
"479 VAN BUREN STREET","Income-restricted, HDFC","BEDFORD STUYVESANT",1931
"48 WEST 119 STREET","Income-restricted, HDFC",NA,NA
"481 17 STREET","Income-restricted, HDFC",NA,NA
"481 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"481 LENOX AVENUE","Limited-equity, Mitchell Lama",NA,NA
"483 17 STREET","Income-restricted, HDFC",NA,NA
"483 VAN BUREN STREET","Income-restricted, HDFC","BEDFORD STUYVESANT",1931
"484 CONVENT AVENUE","Income-restricted, HDFC",NA,NA
"484 WEST 165 STREET","Income-restricted, HDFC",NA,NA
"486 AMSTERDAM AVENUE","Income-restricted, HDFC","UPPER WEST SIDE (79-96)",NA
"486 ST NICHOLAS AVENUE","Income-restricted, HDFC",NA,NA
"487 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"487 WEST BROADWAY","Limited-equity, Mitchell Lama",NA,NA
"488 CONVENT AVENUE","Income-restricted, HDFC",NA,NA
"489 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"49 5 AVENUE","Income-restricted, HDFC","GREENWICH VILLAGE-CENTRAL",NA
"49 HEGEMAN AVENUE","Income-restricted, HDFC",NA,NA
"490 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"490 SOUTHERN BOULEVARD","Income-restricted, HDFC","MOTT HAVEN/PORT MORRIS",NA
"492 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"494 JEFFERSON AVENUE","Income-restricted, HDFC",NA,NA
"495 EAST 178 STREET","Income-restricted, HDFC","BATHGATE",NA
"498 PENNSYLVANIA AVENUE","Income-restricted, HDFC","EAST NEW YORK",1930
"5 EAST 131 STREET","Income-restricted, HDFC",NA,NA
"50 WEST 112 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"50 WEST 119 STREET","Income-restricted, HDFC",NA,NA
"501 WEST 138 STREET","Income-restricted, HDFC",NA,NA
"501 WEST 143 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"502 WEST 148 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"503 WEST 111 STREET","Income-restricted, HDFC","UPPER WEST SIDE (96-116)",NA
"503 WEST 170 STREET","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"504 WEST 135 STREET","Income-restricted, HDFC","HARLEM-WEST",NA
"504 WEST 139 STREET","Income-restricted, HDFC","HARLEM-WEST",NA
"504 WEST 48 STREET","Income-restricted, HDFC",NA,NA
"505 PRESIDENT STREET","Income-restricted, HDFC",NA,NA
"505 WEST 143 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"505 WEST 148 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"506 WEST 145 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"507 WEST 140 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"507 WEST 172 STREET","Income-restricted, HDFC",NA,NA
"508 EAST 6 STREET","Income-restricted, HDFC",NA,NA
"508 WEST 139 STREET","Income-restricted, HDFC","HARLEM-WEST",NA
"509 PRESIDENT STREET","Income-restricted, HDFC",NA,NA
"509 WEST 140 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"509 WEST 142 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"509 WEST 160 STREET","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"51 CLIFTON PLACE","Income-restricted, HDFC","CLINTON HILL",1905
"510 WEST 151 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"510 WEST 172 STREET","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"511 PARK PLACE","Income-restricted, HDFC",NA,NA
"511 VAN SICLEN AVENUE","Income-restricted, HDFC",NA,NA
"511 WEST 138 STREET","Income-restricted, HDFC","HARLEM-WEST",NA
"511 WEST 172 STREET","Income-restricted, HDFC",NA,NA
"512 EAST 11 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"512 WEST 149 STREET","Income-restricted, HDFC",NA,NA
"512 WEST 156 STREET","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"513 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"513 WEST 135 STREET","Income-restricted, HDFC","HARLEM-WEST",NA
"513 WEST 157 STREET","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"514 WEST 148 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"514 WEST 149 STREET","Income-restricted, HDFC",NA,NA
"514 WEST 50 STREET","Income-restricted, HDFC","CLINTON",NA
"514F EAST 13 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"515 EAST 13 STREET","Income-restricted, HDFC",NA,NA
"515 WEST 135 STREET","Income-restricted, HDFC","HARLEM-WEST",NA
"515 WEST 138 STREET","Income-restricted, HDFC","HARLEM-WEST",NA
"515 WEST 143 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"515 WEST 151 STREET","Income-restricted, HDFC",NA,NA
"515 WEST 172 STREET","Income-restricted, HDFC",NA,NA
"516 WEST 158 STREET","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"517 WEST 135 STREET","Income-restricted, HDFC","HARLEM-WEST",NA
"517 WEST 151 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"517 WEST 184 STREET","Income-restricted, HDFC",NA,NA
"517 WEST 48 STREET","Income-restricted, HDFC","CLINTON",NA
"517-19 WEST 144 STREET","Income-restricted, HDFC",NA,NA
"518 WEST 134 STREET","Income-restricted, HDFC","HARLEM-WEST",NA
"518 WEST 135 STREET","Income-restricted, HDFC","HARLEM-WEST",NA
"518 WEST 146 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"518 WEST 148 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"519 EAST 11 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"519 WEST 151 STREET","Income-restricted, HDFC",NA,NA
"519 WEST 160 STREET","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"52 EAST 1 STREET","Income-restricted, HDFC",NA,NA
"520 WEST 134 STREET","Income-restricted, HDFC","HARLEM-WEST",NA
"521 WEST 135 STREET","Income-restricted, HDFC","HARLEM-WEST",NA
"521 WEST 143 STREET","Income-restricted, HDFC",NA,NA
"521 WEST 148 STREET","Income-restricted, HDFC",NA,NA
"521 WEST 151 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"522 WEST 151 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"522 WEST 152 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"523 WEST 151 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"523 WEST 152 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"524 EAST 6 STREET","Income-restricted, HDFC",NA,NA
"524 WEST 151 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"524 WEST 152 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"525 EAST 6 STREET","Income-restricted, HDFC",NA,NA
"525 WEST 134 STREET","Income-restricted, HDFC",NA,NA
"525 WEST 138 STREET","Income-restricted, HDFC","HARLEM-WEST",NA
"525 WEST 151 STREET","Income-restricted, HDFC",NA,NA
"52-56 ST NICHOLAS AVE","Limited-equity",NA,NA
"526 WEST 158 STREET","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"527 EAST 12 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"527 EAST 5 STREET","Income-restricted, HDFC",NA,NA
"527 WEST 143 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"527 WEST 151 STREET","Income-restricted, HDFC",NA,NA
"527 WEST 160 STREET","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"528 MANHATTAN AVENUE","Income-restricted, HDFC",NA,NA
"529 WEST 148 STREET","Income-restricted, HDFC",NA,NA
"529 WEST 152 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"53 STANTON STREET","Income-restricted, HDFC",NA,NA
"530 EAST 159 STREET","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"530 WEST 153 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"533 EAST 6 STREET","Income-restricted, HDFC",NA,NA
"533 WEST 145 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"534 9 AVENUE","Income-restricted, HDFC","FASHION",NA
"534 GRAHAM AVENUE","Income-restricted, HDFC",NA,NA
"534 WEST 152 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"534 WEST 153 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
"534 WEST 46 STREET","Income-restricted, HDFC",NA,NA
"535 EAST 6 STREET","Income-restricted, HDFC",NA,NA
"535 WEST 156 STREET","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"535 WEST 160 STREET","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"535 WEST 163 STREET","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"536 EAST 11 STREET","Income-restricted, HDFC",NA,NA
"536 WEST 163 STREET","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"537 EAST 6 STREET","Income-restricted, HDFC",NA,NA
"537 WEST 133 STREET","Income-restricted, HDFC",NA,NA
"537 WEST 144 STREET","Income-restricted, HDFC",NA,NA
"537 WEST 156 STREET","Income-restricted, HDFC",NA,NA
"538 WEST 148 STREET","Income-restricted, HDFC",NA,NA
"539 WEST 160 STREET","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"54 EAST 129 STREET","Income-restricted, HDFC",NA,NA
"54 ST JOHNS PLACE","Income-restricted, HDFC",NA,NA
"540 WEST 146 STREET","Income-restricted, HDFC","HARLEM-UPPER",NA
